municipio,nome_municipio,uf,utp
1100205,Porto Velho,RO,269
1200401,Rio Branco,AC,282
1302603,Manaus,AM,206
1400100,Boa Vista,RR,47
1501402,Belém,PA,41
1600303,Macapá,AP,202
1721000,Palmas,TO,231
2111300,São Luís,MA,314
2211001,Teresina,PI,336
2304400,Fortaleza,CE,111
2307304,Juazeiro do Norte,CE,187
2408102,Natal,RN,222
2507507,João Pessoa,PB,185
2604106,Caruaru,PE,78
2611606,Recife,PE,278
2704302,Maceió,AL,203
2800308,Aracaju,SE,19
2910800,Feira de Santana,BA,107
2914802,Itabuna,BA,159
2927408,Salvador,BA,291
2933307,Vitória da Conquista,BA,362
3106200,Belo Horizonte,MG,42
3136702,Juiz de Fora,MG,189
3143302,Montes Claros,MG,218
3170206,Uberlândia,MG,352
3205309,Vitória,ES,363
3304557,Rio de Janeiro,RJ,284
3506003,Bauru,SP,40
3509502,Campinas,SP,316
3543402,Ribeirão Preto,SP,281
3549805,São José do Rio Preto,SP,311
3549904,São José dos Campos,SP,312
3550308,São Paulo,SP,316
3552205,Sorocaba,SP,328
4104808,Cascavel,PR,79
4106902,Curitiba,PR,100
4113700,Londrina,PR,199
4115200,Maringá,PR,211
4202404,Blumenau,SC,46
4204202,Chapecó,SC,88
4204608,Criciúma,SC,96
4205407,Florianópolis,SC,110
4208203,Itajaí,SC,160
4209102,Joinville,SC,186
4305108,Caxias do Sul,RS,84
4314100,Passo Fundo,RS,240
4314902,Porto Alegre,RS,267
5002704,Campo Grande,MS,67
5103403,Cuiabá,MT,98
5208707,Goiânia,GO,117
5300108,Brasília,DF,53
