utp,nome_utp,municipio,nome_municipio,uf,long_utp,lat_utp,sede
670,Rolim de Moura,1100015,Alta Floresta D'Oeste,RO,-61.999824,-11.93554,false
395,Ariquemes,1100023,Ariquemes,RO,-63.033269,-9.908463,true
639,Cabixi,1100031,Cabixi,RO,-60.544314,-13.499763,true
430,Cacoal,1100049,Cacoal,RO,-61.442944,-11.433865,true
463,Cerejeiras,1100056,Cerejeiras,RO,-60.818426,-13.195033,true
463,Cerejeiras,1100064,Colorado do Oeste,RO,-60.555067,-13.130564,false
463,Cerejeiras,1100072,Corumbiara,RO,-60.948701,-12.99752,false
484,Costa Marques,1100080,Costa Marques,RO,-64.231654,-12.436014,true
638,Pimenta Bueno,1100098,Espigão D'Oeste,RO,-61.020173,-11.528555,false
143,Guajará-Mirim,1100106,Guajará-Mirim,RO,-65.323952,-10.773884,true
182,Ji-Paraná,1100114,Jaru,RO,-62.476231,-10.435949,false
182,Ji-Paraná,1100122,Ji-Paraná,RO,-61.945095,-10.882051,true
576,Machadinho D'Oeste,1100130,Machadinho D'Oeste,RO,-61.999593,-9.425562,true
670,Rolim de Moura,1100148,Nova Brasilândia D'Oeste,RO,-62.30823,-11.721325,false
182,Ji-Paraná,1100155,Ouro Preto do Oeste,RO,-62.261055,-10.723574,false
638,Pimenta Bueno,1100189,Pimenta Bueno,RO,-61.183666,-11.677537,true
269,Porto Velho,1100205,Porto Velho,RO,-63.831446,-8.768892,true
182,Ji-Paraná,1100254,Presidente Médici,RO,-61.909439,-11.173205,false
395,Ariquemes,1100262,Rio Crespo,RO,-62.90001,-9.705537,false
670,Rolim de Moura,1100288,Rolim de Moura,RO,-61.785781,-11.722259,true
670,Rolim de Moura,1100296,Santa Luzia D'Oeste,RO,-61.773305,-11.908423,false
759,Vilhena,1100304,Vilhena,RO,-60.138584,-12.741373,true
379,São Miguel do Guaporé,1100320,São Miguel do Guaporé,RO,-62.720063,-11.69949,true
143,Guajará-Mirim,1100338,Nova Mamoré,RO,-65.329149,-10.411771,false
379,São Miguel do Guaporé,1100346,Alvorada D'Oeste,RO,-62.277275,-11.34413,false
670,Rolim de Moura,1100379,Alto Alegre dos Parecis,RO,-61.853077,-12.131777,false
395,Ariquemes,1100403,Alto Paraíso,RO,-63.317629,-9.716667,false
425,Buritis,1100452,Buritis,RO,-63.829679,-10.209805,true
670,Rolim de Moura,1100502,Novo Horizonte do Oeste,RO,-61.994388,-11.709743,false
395,Ariquemes,1100601,Cacaulândia,RO,-62.90319,-10.338873,false
425,Buritis,1100700,Campo Novo de Rondônia,RO,-63.624991,-10.568416,false
